Time  200 :  Santa Barry  giving to children: bracelet girl
Time  201 :  Santa Barry  giving to children: bracelet boy
Time  201 :  Santa Barry  giving to children: dinosaur girl
Time  202 :  Santa Barry  giving to children: dinosaur girl
Time  202 :  Santa Barry  giving to children: train girl
Time  203 :  Santa Barry  giving to children: doll girl
Time  203 :  Santa Barry  giving to children: bracelet girl
Time: 204 :  Santa Barry  Walking to toy department
Time  204 :  Santa Barry  retrieving from sleigh: whistle girl
Time  204 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  204 :  Santa Barry  retrieving from sleigh: doll boy
Time  204 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  204 :  Santa Barry  retrieving from sleigh: whistle boy
Time  205 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  205 :  Santa Barry  retrieving from sleigh: whistle boy
Time  205 :  Santa Barry  retrieving from sleigh: doll girl
Time  205 :  Santa Barry  retrieving from sleigh: whistle boy
Time  206 :  Santa Barry  retrieving from sleigh: doll girl
Time  207 :  Santa Barry  Walking back to grotto
Time  208 :  Santa Barry  giving to children: whistle girl
Time  209 :  Santa Barry  giving to children: dinosaur girl
Time  209 :  Santa Barry  giving to children: doll boy
Time  210 :  Santa Barry  giving to children: dinosaur girl
Time  211 :  Santa Barry  giving to children: whistle boy
Time  211 :  Santa Barry  giving to children: bracelet girl
Time  211 :  Santa Barry  giving to children: whistle boy
Time  211 :  Santa Barry  giving to children: doll girl
Time  212 :  Santa Barry  giving to children: whistle boy
Time  212 :  Santa Barry  giving to children: doll girl
Time: 213 :  Santa Barry  Walking to toy department
Time  214 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  214 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  214 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  214 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  215 :  Santa Barry  retrieving from sleigh: dinosaur boy
Time  215 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  216 :  Santa Barry  retrieving from sleigh: train boy
Time  216 :  Santa Barry  retrieving from sleigh: dinosaur girl
Time  216 :  Santa Barry  retrieving from sleigh: doll girl
Time  216 :  Santa Barry  retrieving from sleigh: train boy
Time  217 :  Santa Barry  Walking back to grotto
Time  218 :  Santa Barry  giving to children: dinosaur girl
Time  218 :  Santa Barry  giving to children: dinosaur boy
Time  218 :  Santa Barry  giving to children: bracelet girl
Time  218 :  Santa Barry  giving to children: fake tattoo girl
Time  219 :  Santa Barry  giving to children: dinosaur boy
Time  219 :  Santa Barry  giving to children: dinosaur girl
Time  220 :  Santa Barry  giving to children: train boy
Time  220 :  Santa Barry  giving to children: dinosaur girl
Time  220 :  Santa Barry  giving to children: doll girl
Time  221 :  Santa Barry  giving to children: train boy
Time: 222 :  Santa Barry  Walking to toy department
Time  222 :  Santa Barry  retrieving from sleigh: whistle boy
Time  222 :  Santa Barry  retrieving from sleigh: train girl
Time  223 :  Santa Barry  retrieving from sleigh: bracelet boy
Time  225 :  Santa Barry  retrieving from sleigh: train boy
Time  225 :  Santa Barry  retrieving from sleigh: bracelet girl
Time  225 :  Santa Barry  retrieving from sleigh: fake tattoo boy
Time  226 :  Santa Barry  retrieving from sleigh: whistle boy
Time  226 :  Santa Barry  retrieving from sleigh: whistle boy
Time  227 :  Santa Barry  retrieving from sleigh: train boy
Time  227 :  Santa Barry  retrieving from sleigh: fake tattoo girl
Time  228 :  Santa Barry  Walking back to grotto
Time  229 :  Santa Barry  giving to children: whistle boy
Time  230 :  Santa Barry  giving to children: train girl
Time  231 :  Santa Barry  giving to children: bracelet boy
Time  231 :  Santa Barry  giving to children: train boy
Time  232 :  Santa Barry  giving to children: bracelet girl
Time  232 :  Santa Barry  giving to children: fake tattoo boy
Time  233 :  Santa Barry  giving to children: whistle boy
Time  234 :  Santa Barry  giving to children: whistle boy
Time  234 :  Santa Barry  giving to children: train boy
