Time  185 :  Santa Nick  giving to children: bracelet girl
Time  185 :  Santa Nick  giving to children: fake tattoo boy
Time  185 :  Santa Nick  giving to children: bracelet girl
Time  185 :  Santa Nick  giving to children: dinosaur boy
Time  186 :  Santa Nick  giving to children: fake tattoo girl
Time  186 :  Santa Nick  giving to children: fake tattoo girl
Time: 187 :  Santa Nick  Walking to toy department
Time  187 :  Santa Nick  retrieving from sleigh: train girl
Time  187 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  187 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  187 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  188 :  Santa Nick  retrieving from sleigh: doll boy
Time  188 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  189 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  189 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  190 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  190 :  Santa Nick  retrieving from sleigh: train girl
Time  191 :  Santa Nick  Walking back to grotto
Time  191 :  Santa Nick  giving to children: train girl
Time  192 :  Santa Nick  giving to children: dinosaur girl
Time  192 :  Santa Nick  giving to children: fake tattoo boy
Time  193 :  Santa Nick  giving to children: bracelet girl
Time  193 :  Santa Nick  giving to children: doll boy
Time  194 :  Santa Nick  giving to children: dinosaur girl
Time  195 :  Santa Nick  giving to children: fake tattoo girl
Time  195 :  Santa Nick  giving to children: fake tattoo girl
Time  195 :  Santa Nick  giving to children: bracelet boy
Time  196 :  Santa Nick  giving to children: train girl
Time: 197 :  Santa Nick  Walking to toy department
Time  197 :  Santa Nick  retrieving from sleigh: train girl
Time  197 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  197 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  197 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  197 :  Santa Nick  retrieving from sleigh: train girl
Time  198 :  Santa Nick  retrieving from sleigh: whistle girl
Time  198 :  Santa Nick  retrieving from sleigh: doll boy
Time  199 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  199 :  Santa Nick  retrieving from sleigh: doll girl
Time  199 :  Santa Nick  retrieving from sleigh: doll girl
Time  200 :  Santa Nick  Walking back to grotto
Time  201 :  Santa Nick  giving to children: train girl
Time  201 :  Santa Nick  giving to children: dinosaur girl
Time  202 :  Santa Nick  giving to children: fake tattoo girl
Time  203 :  Santa Nick  giving to children: fake tattoo boy
Time  203 :  Santa Nick  giving to children: train girl
Time  203 :  Santa Nick  giving to children: whistle girl
Time  204 :  Santa Nick  giving to children: doll boy
Time  205 :  Santa Nick  giving to children: fake tattoo girl
Time  206 :  Santa Nick  giving to children: doll girl
Time  206 :  Santa Nick  giving to children: doll girl
Time: 207 :  Santa Nick  Walking to toy department
Time  207 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  207 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  207 :  Santa Nick  retrieving from sleigh: train boy
Time  207 :  Santa Nick  retrieving from sleigh: doll girl
Time  208 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  208 :  Santa Nick  retrieving from sleigh: whistle boy
Time  209 :  Santa Nick  retrieving from sleigh: whistle boy
Time  209 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  210 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  211 :  Santa Nick  retrieving from sleigh: whistle girl
Time  212 :  Santa Nick  Walking back to grotto
Time  212 :  Santa Nick  giving to children: dinosaur boy
Time  213 :  Santa Nick  giving to children: dinosaur boy
Time  213 :  Santa Nick  giving to children: train boy
Time  214 :  Santa Nick  giving to children: doll girl
Time  215 :  Santa Nick  giving to children: bracelet boy
Time  215 :  Santa Nick  giving to children: whistle boy
Time  216 :  Santa Nick  giving to children: whistle boy
Time  216 :  Santa Nick  giving to children: bracelet girl
Time  217 :  Santa Nick  giving to children: dinosaur boy
Time  217 :  Santa Nick  giving to children: whistle girl
Time: 218 :  Santa Nick  Walking to toy department
Time  218 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  218 :  Santa Nick  retrieving from sleigh: doll boy
Time  218 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  218 :  Santa Nick  retrieving from sleigh: doll boy
Time  218 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  219 :  Santa Nick  retrieving from sleigh: train girl
Time  219 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  219 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  220 :  Santa Nick  retrieving from sleigh: doll girl
Time  220 :  Santa Nick  retrieving from sleigh: doll girl
Time  221 :  Santa Nick  Walking back to grotto
Time  221 :  Santa Nick  giving to children: fake tattoo boy
Time  222 :  Santa Nick  giving to children: doll boy
Time  223 :  Santa Nick  giving to children: bracelet boy
Time  224 :  Santa Nick  giving to children: doll boy
Time  224 :  Santa Nick  giving to children: dinosaur girl
Time  224 :  Santa Nick  giving to children: train girl
Time  225 :  Santa Nick  giving to children: dinosaur boy
